Date,variable,ppt
1/1/02,Rivendell,26.17399979
1/2/02,Rivendell,69.41500092
1/3/02,Rivendell,54.36700058
1/4/02,Rivendell,0
1/5/02,Rivendell,2.451999903
1/6/02,Rivendell,73.31700134
1/7/02,Rivendell,100.0579987
1/8/02,Rivendell,18.92000008
1/9/02,Rivendell,24.60099983
1/10/02,Rivendell,0
1/11/02,Rivendell,0
1/12/02,Rivendell,0
1/13/02,Rivendell,0
1/14/02,Rivendell,0
1/15/02,Rivendell,0
1/16/02,Rivendell,0
1/17/02,Rivendell,0
1/18/02,Rivendell,0
1/19/02,Rivendell,0
1/20/02,Rivendell,0
1/21/02,Rivendell,4.861999989
1/22/02,Rivendell,38.49599838
1/23/02,Rivendell,0
1/24/02,Rivendell,0
1/25/02,Rivendell,0
1/26/02,Rivendell,18.47200012
1/27/02,Rivendell,20.08200073
1/28/02,Rivendell,1.43599999
1/29/02,Rivendell,0.509999991
1/30/02,Rivendell,0
1/31/02,Rivendell,0
2/1/02,Rivendell,4.243000031
2/2/02,Rivendell,7.109000206
2/3/02,Rivendell,0
2/4/02,Rivendell,0.617999971
2/5/02,Rivendell,0
2/6/02,Rivendell,0
2/7/02,Rivendell,16.58699989
2/8/02,Rivendell,62.75400162
2/9/02,Rivendell,9.795000076
2/10/02,Rivendell,0
2/11/02,Rivendell,0
2/12/02,Rivendell,0
2/13/02,Rivendell,0
2/14/02,Rivendell,0
2/15/02,Rivendell,0
2/16/02,Rivendell,2.878000021
2/17/02,Rivendell,10.00199986
2/18/02,Rivendell,1.993000031
2/19/02,Rivendell,12.72900009
2/20/02,Rivendell,98.33200073
2/21/02,Rivendell,22.11100006
2/22/02,Rivendell,12.52799988
2/23/02,Rivendell,26.76399994
2/24/02,Rivendell,26.23200035
2/25/02,Rivendell,1.01699996
2/26/02,Rivendell,0
2/27/02,Rivendell,0
2/28/02,Rivendell,0
3/1/02,Rivendell,0
3/2/02,Rivendell,0
3/3/02,Rivendell,0
3/4/02,Rivendell,0
3/5/02,Rivendell,0
3/6/02,Rivendell,12.96000004
3/7/02,Rivendell,36.94400024
3/8/02,Rivendell,11.60499954
3/9/02,Rivendell,0.264999986
3/10/02,Rivendell,14.81599998
3/11/02,Rivendell,7.602000237
3/12/02,Rivendell,2.622999907
3/13/02,Rivendell,7.282000065
3/14/02,Rivendell,7.34100008
3/15/02,Rivendell,0
3/16/02,Rivendell,1.238999963
3/17/02,Rivendell,2.818000078
3/18/02,Rivendell,3.727999926
3/19/02,Rivendell,0
3/20/02,Rivendell,0
3/21/02,Rivendell,0
3/22/02,Rivendell,2.132999897
3/23/02,Rivendell,34.29800034
3/24/02,Rivendell,16.36899948
3/25/02,Rivendell,0
3/26/02,Rivendell,0
3/27/02,Rivendell,0
3/28/02,Rivendell,0
3/29/02,Rivendell,0
3/30/02,Rivendell,0
3/31/02,Rivendell,0
4/1/02,Rivendell,0
4/2/02,Rivendell,0
4/3/02,Rivendell,0
4/4/02,Rivendell,0
4/5/02,Rivendell,0
4/6/02,Rivendell,0.913999975
4/7/02,Rivendell,0
4/8/02,Rivendell,0
4/9/02,Rivendell,2.053999901
4/10/02,Rivendell,6.640999794
4/11/02,Rivendell,5.771999836
4/12/02,Rivendell,0.47299999
4/13/02,Rivendell,0
4/14/02,Rivendell,0.814999998
4/15/02,Rivendell,2.448999882
4/16/02,Rivendell,4.553999901
4/17/02,Rivendell,16.8239994
4/18/02,Rivendell,5.559999943
4/19/02,Rivendell,0
4/20/02,Rivendell,0
4/21/02,Rivendell,0
4/22/02,Rivendell,0
4/23/02,Rivendell,0
4/24/02,Rivendell,0
4/25/02,Rivendell,0
